job_id,job_title,company_size,company_industry,country,remote_type,experience_level,years_experience,education_level,skills_python,skills_sql,skills_ml,skills_deep_learning,skills_cloud,salary,job_posting_month,job_posting_year,hiring_urgency,job_openings
12.0,Machine Learning Engineer,Startup,Education,USA,Remote,Mid,13.0,Master,0.0,1.0,1.0,0.0,1.0,142392.0,1.0,2020.0,High,9.0
13.0,Data Analyst,Medium,Finance,Germany,Remote,Entry,6.0,PhD,1.0,1.0,0.0,0.0,,,11.0,2025.0,Low,5.0
14.0,Data Scientist,MNC,Finance,Australia,Remote,Mid,6.0,Master,1.0,0.0,0.0,0.0,0.0,90698.0,1.0,2021.0,High,8.0
15.0,Machine Learning Engineer,MNC,Education,Singapore,Remote,Entry,2.0,Bachelor,1.0,1.0,0.0,1.0,1.0,135535.0,7.0,2023.0,Low,6.0
16.0,Data Analyst,MNC,Retail,USA,Onsite,Mid,3.0,Bachelor,1.0,1.0,1.0,0.0,0.0,114339.0,11.0,2025.0,Low,1.0
17.0,Business Analyst,Enterprise,Technology,Germany,Onsite,Senior,2.0,Master,0.0,0.0,1.0,1.0,0.0,133680.0,1.0,2026.0,High,4.0
18.0,Machine Learning Engineer,MNC,Finance,UK,Remote,Entry,6.0,Master,0.0,1.0,1.0,0.0,0.0,122049.0,1.0,2025.0,High,9.0
19.0,AI Engineer,Startup,E-commerce,UK,Onsite,Entry,2.0,Bachelor,0.0,1.0,1.0,0.0,1.0,116197.0,8.0,2020.0,High,8.0
20.0,AI Engineer,Enterprise,Finance,Germany,Hybrid,Mid,13.0,PhD,0.0,0.0,0.0,0.0,1.0,122869.0,3.0,2024.0,Medium,2.0
21.0,Data Scientist,MNC,Finance,Germany,Remote,Mid,3.0,Bachelor,1.0,1.0,1.0,0.0,0.0,,1.0,2023.0,Low,1.0
22.0,Data Analyst,Enterprise,Education,Singapore,Hybrid,Mid,5.0,Master,1.0,0.0,0.0,1.0,1.0,99893.0,1.0,2023.0,Low,2.0
23.0,Data Scientist,Startup,Technology,Canada,Onsite,Senior,0.0,Bachelor,1.0,1.0,1.0,0.0,1.0,121060.0,8.0,2024.0,Low,5.0
24.0,Data Scientist,Medium,E-commerce,Singapore,Onsite,Entry,12.0,PhD,0.0,1.0,0.0,0.0,,63319.0,2.0,2020.0,Medium,3.0
25.0,Machine Learning Engineer,Enterprise,Education,India,Onsite,Mid,14.0,Master,1.0,0.0,1.0,0.0,0.0,125784.0,8.0,2020.0,Medium,2.0
26.0,Data Scientist,Enterprise,Education,Singapore,Remote,Mid,9.0,PhD,0.0,1.0,0.0,1.0,0.0,92992.0,4.0,2024.0,High,7.0
27.0,AI Engineer,Startup,Education,Australia,Onsite,Senior,11.0,PhD,1.0,1.0,1.0,0.0,0.0,154146.0,9.0,2021.0,Medium,6.0
28.0,Data Engineer,Startup,Education,India,Hybrid,Mid,3.0,,1.0,1.0,0.0,1.0,0.0,88124.0,12.0,2023.0,Low,5.0
29.0,AI Engineer,Startup,Technology,Australia,Remote,Mid,2.0,PhD,0.0,1.0,1.0,1.0,0.0,140635.0,10.0,2025.0,High,2.0
30.0,Data Analyst,Startup,Retail,Germany,Hybrid,Senior,4.0,Master,1.0,0.0,1.0,0.0,0.0,111931.0,5.0,2020.0,High,9.0
31.0,Machine Learning Engineer,Medium,Finance,Singapore,Hybrid,Mid,8.0,Master,1.0,0.0,0.0,0.0,1.0,,5.0,2025.0,High,7.0
32.0,Business Analyst,Enterprise,Retail,Germany,Hybrid,Senior,5.0,Bachelor,0.0,0.0,1.0,1.0,0.0,127141.0,4.0,2024.0,High,1.0
33.0,AI Engineer,MNC,Healthcare,India,Remote,Senior,13.0,Bachelor,1.0,0.0,0.0,1.0,1.0,182849.0,4.0,2026.0,Medium,6.0
34.0,Machine Learning Engineer,Medium,Retail,India,Remote,Entry,,Bachelor,1.0,1.0,1.0,0.0,1.0,119087.0,11.0,2023.0,Low,1.0
35.0,AI Engineer,Medium,Retail,Germany,Remote,Entry,2.0,Bachelor,0.0,0.0,1.0,0.0,0.0,103913.0,11.0,2023.0,Low,1.0
36.0,Business Analyst,Startup,Technology,Singapore,Hybrid,Mid,2.0,Bachelor,1.0,0.0,0.0,0.0,1.0,86748.0,10.0,2021.0,High,8.0
37.0,Machine Learning Engineer,Medium,Healthcare,UK,Remote,Senior,4.0,Master,1.0,0.0,0.0,0.0,1.0,145728.0,5.0,2024.0,Low,4.0
38.0,Data Scientist,MNC,Healthcare,Canada,Remote,Senior,2.0,,1.0,1.0,1.0,0.0,0.0,,5.0,2023.0,High,8.0
39.0,Data Scientist,Enterprise,E-commerce,Singapore,Remote,Senior,13.0,Bachelor,0.0,0.0,1.0,1.0,1.0,136365.0,11.0,2022.0,High,9.0
40.0,Data Scientist,MNC,Technology,Canada,Remote,Senior,6.0,Bachelor,1.0,1.0,0.0,1.0,1.0,145486.0,5.0,2024.0,Low,3.0
41.0,Data Analyst,MNC,Finance,Germany,Onsite,Entry,6.0,Bachelor,1.0,0.0,0.0,0.0,0.0,71541.0,10.0,2024.0,High,7.0
42.0,Data Analyst,Enterprise,E-commerce,UK,Onsite,Mid,11.0,PhD,0.0,1.0,1.0,1.0,0.0,101542.0,8.0,2021.0,High,6.0
43.0,Data Scientist,Medium,Retail,India,Hybrid,Entry,4.0,Bachelor,1.0,0.0,1.0,1.0,0.0,76365.0,4.0,2020.0,High,1.0
44.0,Data Scientist,Startup,Technology,Germany,Hybrid,Senior,12.0,PhD,1.0,1.0,0.0,0.0,1.0,109268.0,2.0,2023.0,Medium,3.0
45.0,Data Engineer,Medium,Technology,Germany,Remote,Senior,6.0,Bachelor,0.0,0.0,0.0,1.0,1.0,121214.0,12.0,2020.0,High,9.0
46.0,Data Scientist,MNC,Finance,Australia,Remote,Mid,,Master,0.0,1.0,0.0,0.0,0.0,94175.0,6.0,2024.0,Medium,5.0
47.0,Data Analyst,MNC,E-commerce,Germany,Onsite,Senior,1.0,Bachelor,0.0,0.0,0.0,1.0,0.0,139588.0,6.0,2025.0,Low,1.0
48.0,Data Analyst,MNC,Finance,UK,Hybrid,Mid,7.0,Bachelor,1.0,1.0,1.0,1.0,1.0,130539.0,12.0,2024.0,High,2.0
49.0,Data Scientist,MNC,Retail,Australia,Onsite,Entry,0.0,Bachelor,0.0,1.0,0.0,1.0,1.0,,6.0,2021.0,Low,3.0
50.0,Data Analyst,MNC,E-commerce,Singapore,Remote,Mid,7.0,Master,1.0,1.0,0.0,0.0,0.0,91015.0,1.0,2025.0,High,7.0
51.0,Data Scientist,Medium,Finance,UK,Remote,Mid,8.0,PhD,1.0,0.0,0.0,0.0,0.0,71633.0,9.0,2022.0,Medium,1.0
52.0,Data Scientist,Startup,Education,Germany,Remote,Entry,4.0,PhD,1.0,0.0,0.0,0.0,0.0,49809.0,10.0,2022.0,Low,5.0
53.0,Data Scientist,Startup,Education,USA,Hybrid,Entry,12.0,PhD,0.0,1.0,1.0,0.0,,63419.0,8.0,2026.0,High,8.0
54.0,Machine Learning Engineer,Medium,Healthcare,Australia,Hybrid,Senior,1.0,PhD,1.0,0.0,1.0,1.0,0.0,171544.0,7.0,2026.0,High,9.0
55.0,Business Analyst,Startup,Education,India,Onsite,Senior,5.0,PhD,1.0,1.0,1.0,1.0,1.0,143017.0,11.0,2022.0,High,2.0
56.0,Machine Learning Engineer,MNC,Finance,Australia,Remote,Senior,6.0,Master,1.0,0.0,0.0,0.0,0.0,155137.0,8.0,2020.0,Low,4.0
57.0,Machine Learning Engineer,Startup,Technology,Germany,Remote,Mid,4.0,Master,1.0,0.0,1.0,0.0,0.0,131254.0,9.0,2026.0,Low,3.0
58.0,Data Analyst,Medium,Technology,Germany,Remote,Senior,10.0,PhD,0.0,1.0,1.0,0.0,1.0,127570.0,5.0,2024.0,Medium,3.0
59.0,Machine Learning Engineer,MNC,Healthcare,Canada,Hybrid,Entry,0.0,Master,0.0,0.0,1.0,1.0,1.0,154945.0,11.0,2020.0,High,2.0
60.0,Machine Learning Engineer,,Finance,Australia,Onsite,Mid,14.0,PhD,1.0,0.0,0.0,1.0,1.0,136276.0,4.0,2026.0,Medium,1.0
61.0,Data Engineer,Medium,Healthcare,Germany,Onsite,Mid,12.0,Master,1.0,1.0,0.0,1.0,0.0,90122.0,7.0,2025.0,High,7.0
62.0,Data Analyst,Enterprise,Technology,Canada,Hybrid,Mid,2.0,Master,0.0,0.0,1.0,0.0,0.0,93905.0,7.0,2020.0,Low,5.0
63.0,Data Scientist,Enterprise,Education,India,Hybrid,Entry,12.0,Bachelor,1.0,0.0,1.0,1.0,0.0,84361.0,4.0,2026.0,High,9.0
64.0,Data Engineer,Medium,Finance,Germany,Onsite,Mid,4.0,Bachelor,1.0,1.0,1.0,1.0,1.0,110876.0,6.0,2024.0,High,8.0
65.0,Data Scientist,Startup,E-commerce,Australia,Remote,Mid,6.0,Master,1.0,1.0,1.0,0.0,1.0,104352.0,7.0,2022.0,High,8.0
66.0,Data Analyst,Enterprise,E-commerce,Germany,Onsite,Mid,3.0,Master,1.0,0.0,1.0,0.0,1.0,,6.0,2022.0,Low,6.0
67.0,Data Engineer,Startup,Healthcare,Singapore,Onsite,Mid,12.0,PhD,1.0,0.0,1.0,1.0,1.0,,1.0,2023.0,High,4.0
68.0,Data Scientist,MNC,Finance,India,Hybrid,Mid,13.0,Bachelor,0.0,0.0,1.0,0.0,0.0,108744.0,6.0,2021.0,Medium,3.0
69.0,Machine Learning Engineer,Startup,Healthcare,Germany,Hybrid,Entry,3.0,Master,0.0,0.0,0.0,0.0,0.0,86994.0,8.0,2025.0,High,9.0
70.0,Data Analyst,Medium,Finance,Canada,Hybrid,Mid,4.0,Master,1.0,0.0,0.0,1.0,1.0,104762.0,1.0,2025.0,Low,3.0
71.0,AI Engineer,MNC,E-commerce,UK,Remote,Entry,11.0,Master,1.0,0.0,0.0,0.0,0.0,112546.0,10.0,2025.0,Medium,3.0
72.0,AI Engineer,Startup,E-commerce,India,Remote,Mid,7.0,PhD,1.0,1.0,0.0,0.0,1.0,125142.0,1.0,2020.0,Low,1.0
73.0,Data Scientist,Startup,Healthcare,Australia,Remote,Senior,,PhD,1.0,1.0,0.0,0.0,0.0,100567.0,4.0,2026.0,High,8.0
74.0,Business Analyst,Startup,Technology,Australia,Onsite,Senior,,Bachelor,0.0,0.0,0.0,0.0,0.0,97336.0,4.0,2025.0,High,7.0
75.0,Machine Learning Engineer,Medium,E-commerce,UK,Hybrid,Entry,5.0,Master,0.0,0.0,0.0,1.0,0.0,107863.0,8.0,2024.0,High,8.0
76.0,Business Analyst,Enterprise,Technology,Germany,Remote,Mid,14.0,PhD,0.0,0.0,1.0,1.0,1.0,115779.0,11.0,2025.0,High,5.0
77.0,Machine Learning Engineer,MNC,Education,Australia,Onsite,Senior,13.0,Master,0.0,1.0,1.0,0.0,1.0,180984.0,1.0,2026.0,Medium,2.0
78.0,AI Engineer,Enterprise,Technology,Germany,Remote,Entry,9.0,PhD,0.0,1.0,0.0,1.0,0.0,104146.0,8.0,2020.0,Medium,6.0
79.0,Data Engineer,,Finance,Australia,Remote,Entry,13.0,Master,1.0,1.0,0.0,0.0,0.0,49662.0,3.0,2026.0,Medium,6.0
80.0,Business Analyst,Enterprise,Finance,Canada,Remote,Mid,4.0,Bachelor,1.0,0.0,0.0,0.0,1.0,81625.0,11.0,2025.0,High,9.0
81.0,Machine Learning Engineer,Enterprise,Healthcare,UK,Hybrid,Senior,10.0,Bachelor,0.0,1.0,0.0,0.0,1.0,146990.0,4.0,2025.0,High,8.0
82.0,Business Analyst,MNC,Finance,USA,Remote,Senior,5.0,PhD,1.0,1.0,1.0,0.0,0.0,134944.0,4.0,2020.0,High,7.0
83.0,Data Scientist,MNC,Education,Australia,Onsite,Entry,6.0,Bachelor,0.0,1.0,0.0,1.0,0.0,88058.0,8.0,2022.0,Low,3.0
84.0,Data Engineer,MNC,Education,Canada,Remote,Entry,13.0,Bachelor,1.0,1.0,0.0,1.0,0.0,86645.0,12.0,2020.0,Medium,3.0
85.0,Machine Learning Engineer,Medium,Education,UK,Onsite,Entry,6.0,Bachelor,0.0,0.0,1.0,1.0,1.0,131305.0,12.0,2020.0,High,3.0
86.0,AI Engineer,MNC,Healthcare,Singapore,Remote,Entry,6.0,Bachelor,0.0,1.0,0.0,0.0,0.0,112221.0,9.0,2026.0,High,8.0
87.0,Business Analyst,Enterprise,Retail,USA,Onsite,Mid,,PhD,1.0,1.0,1.0,1.0,0.0,105619.0,5.0,2025.0,High,4.0
88.0,Business Analyst,Medium,Healthcare,Singapore,Hybrid,Senior,6.0,Bachelor,0.0,0.0,1.0,0.0,0.0,111308.0,12.0,2021.0,Low,4.0
89.0,Machine Learning Engineer,Startup,E-commerce,Germany,Onsite,Mid,1.0,PhD,0.0,0.0,0.0,1.0,1.0,135804.0,6.0,2025.0,Low,5.0
90.0,Data Scientist,Medium,E-commerce,Germany,Onsite,Mid,11.0,Master,1.0,0.0,1.0,1.0,1.0,114223.0,1.0,2021.0,High,7.0
91.0,Data Analyst,Startup,Education,USA,Hybrid,Entry,6.0,Bachelor,0.0,1.0,1.0,0.0,1.0,76809.0,10.0,2024.0,Low,4.0
92.0,Business Analyst,Medium,E-commerce,UK,Hybrid,Mid,9.0,Bachelor,1.0,0.0,1.0,1.0,0.0,107141.0,10.0,2023.0,High,5.0
93.0,Business Analyst,Medium,Education,Canada,Onsite,Entry,5.0,PhD,0.0,1.0,1.0,1.0,0.0,83646.0,10.0,2024.0,High,9.0
94.0,Data Scientist,Medium,E-commerce,Germany,Hybrid,Mid,,Master,1.0,1.0,0.0,0.0,0.0,75490.0,10.0,2024.0,Low,5.0
95.0,Business Analyst,Enterprise,Retail,Germany,Remote,Senior,7.0,PhD,0.0,1.0,1.0,0.0,0.0,114853.0,6.0,2024.0,High,8.0
96.0,Data Scientist,Medium,Technology,Singapore,Onsite,Senior,,PhD,1.0,0.0,0.0,0.0,1.0,105153.0,2.0,2024.0,High,9.0
97.0,Data Scientist,Startup,Finance,USA,Remote,Entry,7.0,PhD,1.0,0.0,0.0,0.0,0.0,46252.0,12.0,2023.0,Low,2.0
98.0,Data Analyst,Medium,Education,India,Onsite,Entry,10.0,PhD,0.0,0.0,0.0,1.0,0.0,67982.0,12.0,2025.0,High,7.0
99.0,Data Analyst,MNC,E-commerce,USA,Onsite,Entry,5.0,Master,1.0,0.0,1.0,0.0,,98044.0,10.0,2026.0,High,9.0
100.0,Machine Learning Engineer,MNC,Finance,Singapore,Hybrid,Entry,9.0,Master,0.0,1.0,0.0,0.0,0.0,113007.0,2.0,2022.0,High,9.0
101.0,Business Analyst,Medium,Education,Germany,Onsite,Senior,10.0,Master,1.0,0.0,0.0,1.0,0.0,117138.0,12.0,2023.0,High,8.0
102.0,Business Analyst,Medium,Retail,Canada,Onsite,Mid,6.0,,1.0,0.0,0.0,1.0,0.0,90468.0,6.0,2020.0,Low,4.0
103.0,Business Analyst,Medium,Finance,Canada,Hybrid,Mid,6.0,Master,0.0,1.0,1.0,1.0,0.0,109996.0,2.0,2022.0,High,7.0
104.0,Data Analyst,Enterprise,Education,Germany,Remote,Mid,12.0,Bachelor,1.0,0.0,1.0,0.0,1.0,96771.0,9.0,2021.0,High,8.0
105.0,Data Engineer,Startup,Technology,Canada,Remote,Mid,2.0,,0.0,1.0,1.0,1.0,1.0,110145.0,5.0,2020.0,High,4.0
106.0,Data Scientist,Startup,Education,Singapore,Remote,Senior,8.0,Bachelor,1.0,1.0,1.0,0.0,1.0,129130.0,12.0,2025.0,Medium,5.0
107.0,Data Engineer,MNC,Retail,Australia,Remote,Mid,6.0,Bachelor,1.0,1.0,0.0,1.0,1.0,124076.0,3.0,2024.0,Low,6.0
108.0,Data Engineer,Medium,Retail,India,Remote,Mid,0.0,Bachelor,1.0,0.0,1.0,1.0,0.0,108245.0,7.0,2020.0,High,5.0
109.0,Data Scientist,Enterprise,Technology,India,Remote,Entry,9.0,,0.0,1.0,1.0,1.0,0.0,83194.0,3.0,2025.0,High,8.0
110.0,Business Analyst,MNC,E-commerce,Singapore,Remote,Entry,4.0,Master,1.0,0.0,0.0,1.0,0.0,81218.0,9.0,2021.0,High,9.0
111.0,AI Engineer,Medium,Finance,Singapore,Remote,Entry,10.0,PhD,1.0,1.0,1.0,0.0,1.0,115370.0,5.0,2021.0,High,8.0
112.0,Machine Learning Engineer,Medium,E-commerce,Germany,Remote,Entry,0.0,Bachelor,1.0,1.0,0.0,1.0,1.0,112745.0,3.0,2021.0,Low,3.0
113.0,Data Analyst,Startup,E-commerce,USA,Hybrid,Senior,10.0,Bachelor,0.0,1.0,0.0,0.0,0.0,104908.0,10.0,2023.0,High,9.0
114.0,Data Analyst,Medium,Technology,Singapore,Remote,Senior,9.0,Bachelor,0.0,0.0,0.0,0.0,1.0,108741.0,7.0,2026.0,Medium,5.0
115.0,Machine Learning Engineer,MNC,Healthcare,Australia,Remote,Entry,1.0,PhD,1.0,0.0,1.0,0.0,0.0,122064.0,8.0,2026.0,High,9.0
116.0,Machine Learning Engineer,,E-commerce,UK,Hybrid,Senior,6.0,Master,1.0,0.0,1.0,1.0,0.0,190084.0,6.0,2023.0,High,5.0
117.0,AI Engineer,MNC,Technology,India,Onsite,Entry,0.0,Master,1.0,1.0,0.0,1.0,1.0,136353.0,2.0,2025.0,High,8.0
118.0,Business Analyst,MNC,Technology,UK,Onsite,Entry,12.0,PhD,0.0,0.0,1.0,0.0,0.0,,2.0,2024.0,Medium,3.0
119.0,AI Engineer,Startup,Retail,Canada,Remote,Senior,6.0,PhD,0.0,0.0,0.0,1.0,1.0,163155.0,6.0,2022.0,Low,2.0
120.0,Data Analyst,Enterprise,Finance,Australia,Remote,Entry,4.0,PhD,0.0,1.0,1.0,0.0,0.0,65626.0,1.0,2021.0,Low,5.0
121.0,AI Engineer,Medium,Healthcare,Canada,Onsite,Entry,7.0,Bachelor,1.0,1.0,0.0,1.0,1.0,115179.0,9.0,2020.0,High,8.0
122.0,Business Analyst,Startup,Retail,Australia,Hybrid,Senior,12.0,PhD,1.0,1.0,0.0,1.0,1.0,127725.0,9.0,2025.0,Medium,3.0
123.0,Data Engineer,Enterprise,Finance,Australia,Remote,Mid,11.0,Bachelor,0.0,1.0,1.0,0.0,0.0,90463.0,8.0,2022.0,Medium,2.0
124.0,Business Analyst,Startup,E-commerce,India,Hybrid,Mid,14.0,Master,0.0,1.0,1.0,0.0,0.0,87043.0,6.0,2020.0,High,9.0
125.0,Data Analyst,Medium,Retail,USA,Remote,Entry,14.0,Master,1.0,1.0,1.0,1.0,1.0,93905.0,8.0,2021.0,High,1.0
126.0,AI Engineer,Startup,Healthcare,USA,Remote,Entry,13.0,Bachelor,0.0,0.0,1.0,1.0,1.0,132014.0,10.0,2025.0,High,7.0
127.0,Machine Learning Engineer,Medium,Healthcare,India,Onsite,Entry,12.0,PhD,0.0,0.0,1.0,0.0,1.0,119631.0,9.0,2021.0,High,9.0
128.0,AI Engineer,MNC,Healthcare,Germany,Hybrid,Mid,10.0,PhD,0.0,0.0,0.0,1.0,1.0,155021.0,10.0,2026.0,Medium,4.0
129.0,Data Analyst,Enterprise,Finance,Germany,Hybrid,Mid,1.0,PhD,1.0,1.0,0.0,1.0,0.0,86266.0,10.0,2022.0,High,9.0
130.0,Data Engineer,MNC,E-commerce,Canada,Onsite,Entry,2.0,PhD,1.0,1.0,1.0,1.0,0.0,99644.0,8.0,2020.0,High,6.0
131.0,Data Analyst,Enterprise,Technology,India,Onsite,Senior,12.0,Bachelor,1.0,0.0,0.0,0.0,0.0,102005.0,5.0,2026.0,Medium,1.0
132.0,Machine Learning Engineer,Startup,Technology,Canada,Hybrid,Mid,2.0,Bachelor,1.0,0.0,1.0,1.0,0.0,145631.0,4.0,2021.0,High,2.0
133.0,Machine Learning Engineer,MNC,Education,Singapore,Hybrid,Senior,9.0,PhD,1.0,0.0,1.0,0.0,0.0,172958.0,1.0,2022.0,Medium,2.0
134.0,Machine Learning Engineer,MNC,Technology,Australia,Onsite,Mid,13.0,Master,1.0,0.0,0.0,0.0,1.0,142365.0,6.0,2023.0,High,9.0
135.0,Business Analyst,Enterprise,Education,Singapore,Remote,Mid,5.0,PhD,0.0,0.0,0.0,0.0,1.0,89444.0,5.0,2026.0,Low,2.0
136.0,Data Scientist,MNC,Technology,Germany,Remote,Senior,14.0,PhD,0.0,1.0,0.0,1.0,1.0,149472.0,5.0,2023.0,High,9.0
137.0,Data Analyst,MNC,Finance,USA,Hybrid,Entry,4.0,PhD,0.0,0.0,1.0,0.0,0.0,89847.0,12.0,2023.0,Low,1.0
138.0,Data Engineer,MNC,Retail,Canada,Hybrid,Mid,8.0,Master,0.0,0.0,1.0,1.0,0.0,126262.0,3.0,2025.0,High,1.0
139.0,Business Analyst,Startup,Retail,Canada,Remote,Entry,13.0,PhD,1.0,1.0,1.0,0.0,1.0,75370.0,11.0,2025.0,High,8.0
140.0,Machine Learning Engineer,Startup,Healthcare,Canada,Remote,Senior,7.0,PhD,0.0,0.0,1.0,0.0,1.0,166294.0,4.0,2021.0,Low,6.0
141.0,Machine Learning Engineer,MNC,Healthcare,Canada,Remote,Senior,,Bachelor,0.0,0.0,1.0,0.0,1.0,185238.0,10.0,2022.0,Low,1.0
142.0,Machine Learning Engineer,Medium,Healthcare,India,Remote,Mid,7.0,PhD,0.0,1.0,0.0,1.0,0.0,128072.0,3.0,2026.0,Low,4.0
143.0,Data Engineer,Startup,E-commerce,USA,Hybrid,Mid,1.0,Master,1.0,1.0,0.0,0.0,0.0,75208.0,9.0,2024.0,High,9.0
144.0,Business Analyst,Enterprise,Finance,UK,Hybrid,Entry,13.0,Master,1.0,1.0,0.0,1.0,1.0,71000.0,7.0,2022.0,Medium,2.0
145.0,Business Analyst,,Finance,Australia,Hybrid,Senior,4.0,Bachelor,0.0,0.0,1.0,1.0,0.0,127875.0,9.0,2020.0,High,5.0
146.0,Data Scientist,MNC,Finance,UK,Hybrid,Mid,2.0,PhD,1.0,1.0,1.0,1.0,1.0,139218.0,5.0,2021.0,High,9.0
147.0,Machine Learning Engineer,Medium,Technology,Canada,Remote,Mid,11.0,Bachelor,0.0,1.0,1.0,0.0,0.0,133234.0,7.0,2025.0,Medium,4.0
148.0,Data Engineer,Medium,Technology,UK,Onsite,Entry,6.0,Bachelor,0.0,0.0,1.0,0.0,0.0,68906.0,3.0,2026.0,High,9.0
149.0,AI Engineer,,E-commerce,Australia,Onsite,Mid,12.0,Master,1.0,1.0,0.0,1.0,1.0,142311.0,10.0,2023.0,Medium,3.0
150.0,Data Engineer,Medium,Healthcare,USA,Remote,Mid,13.0,Bachelor,0.0,0.0,0.0,1.0,1.0,,7.0,2026.0,High,7.0
151.0,Data Scientist,Medium,E-commerce,India,Hybrid,Senior,0.0,Master,1.0,1.0,0.0,1.0,0.0,117285.0,5.0,2025.0,High,7.0
152.0,AI Engineer,Startup,Healthcare,USA,Onsite,Mid,8.0,Master,0.0,1.0,1.0,1.0,1.0,153225.0,11.0,2024.0,High,1.0
153.0,AI Engineer,,Retail,Germany,Onsite,Mid,1.0,Bachelor,0.0,1.0,1.0,0.0,0.0,134776.0,3.0,2023.0,Low,2.0
154.0,Machine Learning Engineer,Startup,E-commerce,USA,Hybrid,Entry,2.0,PhD,1.0,0.0,1.0,0.0,1.0,111100.0,9.0,2025.0,High,9.0
155.0,Data Scientist,Medium,Retail,Singapore,Remote,Mid,9.0,PhD,1.0,0.0,0.0,0.0,0.0,72349.0,3.0,2023.0,High,7.0
156.0,Machine Learning Engineer,Medium,Healthcare,Singapore,Remote,Mid,0.0,Bachelor,1.0,0.0,0.0,1.0,0.0,127472.0,7.0,2023.0,Low,6.0
157.0,Business Analyst,Startup,Technology,India,Remote,Senior,7.0,Bachelor,1.0,1.0,1.0,0.0,1.0,128533.0,6.0,2021.0,Low,3.0
158.0,AI Engineer,Medium,Education,USA,Onsite,Mid,13.0,PhD,1.0,1.0,1.0,1.0,1.0,153374.0,9.0,2026.0,High,4.0
159.0,Machine Learning Engineer,Medium,Education,USA,Onsite,Entry,13.0,,0.0,0.0,1.0,0.0,1.0,119732.0,4.0,2023.0,Medium,6.0
160.0,Data Scientist,Startup,Education,Canada,Hybrid,Mid,7.0,Master,0.0,1.0,0.0,0.0,1.0,89715.0,2.0,2024.0,Low,6.0
161.0,Data Engineer,MNC,Finance,Singapore,Hybrid,Entry,8.0,Master,0.0,1.0,0.0,0.0,,70962.0,3.0,2023.0,Medium,1.0
162.0,Data Engineer,Enterprise,Healthcare,Germany,Hybrid,Senior,,Master,1.0,0.0,0.0,1.0,1.0,128435.0,10.0,2023.0,Low,5.0
163.0,Data Scientist,Medium,Education,India,Remote,Senior,7.0,Master,1.0,1.0,1.0,1.0,0.0,,9.0,2026.0,High,7.0
164.0,Business Analyst,Enterprise,Healthcare,UK,Hybrid,Senior,13.0,,1.0,1.0,1.0,1.0,0.0,133984.0,6.0,2020.0,High,2.0
165.0,AI Engineer,Enterprise,Education,USA,Hybrid,Mid,12.0,Master,1.0,0.0,0.0,0.0,1.0,125772.0,5.0,2021.0,High,9.0
166.0,Business Analyst,Medium,Technology,USA,Onsite,Entry,14.0,Bachelor,1.0,1.0,1.0,0.0,1.0,72719.0,11.0,2025.0,Medium,6.0
167.0,Machine Learning Engineer,MNC,Retail,Singapore,Onsite,Entry,1.0,PhD,1.0,0.0,1.0,1.0,0.0,140175.0,9.0,2026.0,High,2.0
168.0,Data Analyst,,Retail,Canada,Remote,Mid,2.0,Master,0.0,1.0,1.0,1.0,0.0,101638.0,8.0,2020.0,High,4.0
169.0,Business Analyst,Enterprise,Technology,Germany,Remote,Mid,1.0,PhD,0.0,0.0,1.0,0.0,1.0,96549.0,7.0,2024.0,Low,3.0
